event	E	sd	signal/noise	char_func_max
CMTSOLUTION_201308120949A	1.0825466710342926	0.0291782841004369	185.74969411279952	0.9898179320987883
CMTSOLUTION_201005241618A	1.968750429347929	0.11481209394242654	326.2278686783523	-0.8444617999825003
CMTSOLUTION_201402101206A	1.4548386095971697	0.050488406391858566	49.162066440178094	0.9683503297433621
CMTSOLUTION_200802141009A	0.683111603103008	0.05949632874717446	5020.053516512135	0.9564360419306329
CMTSOLUTION_201003111439A	0.9721047913438511	0.0736118936878405	6303.413153154548	0.9909683296598412
CMTSOLUTION_201201101837A	1.3215882825435503	0.2456129428467253	4646.828977378957	0.8716588514769853
CMTSOLUTION_200906062033A	0.9143644310001525	0.04609896531100741	160.50673088677098	0.9770923453567459
CMTSOLUTION_201304060442A	0.9554945268262707	0.03128620093867808	2305.62197535871	0.9757935765609211
CMTSOLUTION_200810122055A	0.9891471045976223	0.17823789883529392	106.50941057167	0.8887439436137567
CMTSOLUTION_201208261505A	0.8378077859925741	0.019995984280050744	709.2038004750416	0.9750443019021241
CMTSOLUTION_201111072235A	1.0432142512755949	0.06374706157331553	78.26779807733215	0.9212429074611824
CMTSOLUTION_201103112011A	1.0469437264564725	0.04134900643234167	7.40914641169112	0.9273446126804955
CMTSOLUTION_200907040649A	0.8238224467174882	0.038477388044454136	214.61716554703088	0.9659305660125979
CMTSOLUTION_200802131958A	2.5674628732713565	0.2514666566884274	317.90322260060975	-0.9381594956434016
CMTSOLUTION_201304201312A	0.9656826756765688	0.031090843866628234	145.33053842485793	0.9798760989017623
CMTSOLUTION_200905191735A	0.9174923050797262	0.08935144935786356	91.626236571662	0.9598952713183383
CMTSOLUTION_200811240902A	2.478103650991348	0.14000686980866014	3255.587356504009	-0.7497154400240753
CMTSOLUTION_201305140032A	NOT FOUND	NOT FOUND	302.93910700393724	0.32986606915265065
CMTSOLUTION_200808100820A	0.9558655086452259	0.028504760268104123	569.861148349962	0.9398993836657249
CMTSOLUTION_201102120117A	1.1233235799592203	0.03444711809598499	13.322116039027575	0.982256961072855
CMTSOLUTION_200807080742A	1.3053826839177805	0.1792654681925278	130.75154300477678	0.9254824662366656
CMTSOLUTION_200906162005A	1.2262340200694097	0.05104542658997937	333.2963088912966	0.9482759328497256
CMTSOLUTION_201101022020A	0.7672195850661516	0.0027136159655030386	4552.470813842358	0.9875873976148859
CMTSOLUTION_201004042240A	0.7338111737385482	0.003370714297068005	2794.4656460394654	0.9886270637420895
CMTSOLUTION_200908280151A	NOT FOUND	NOT FOUND	1719.360790419556	-0.4642058268653265
CMTSOLUTION_201204150557A	0.7988074619789968	0.017487472309647662	247.83739517065263	0.9891717927100537
CMTSOLUTION_201307041716A	1.0754843236717027	0.08405711001826768	111.53775655017613	0.9468398215543339
CMTSOLUTION_201012151129A	1.2728903965968656	0.1616603442197077	33.22397229576283	0.8455086669838598
CMTSOLUTION_201310041726A	NOT FOUND	NOT FOUND	580.6105288458509	-0.5843341396388424
CMTSOLUTION_201306061153A	NOT FOUND	NOT FOUND	20.875194184373594	0.5112142109729545
CMTSOLUTION_200804190312A	1.0756902216892548	0.08652072784214716	116.88148909985307	0.9781952181588149
CMTSOLUTION_201009270008A	0.9766761392650729	0.03190695664642057	238.45036373001784	0.9835798840441925
CMTSOLUTION_201401282222A	0.9996277028959992	0.035041751835899	136.56021409783884	0.9951094297647437
CMTSOLUTION_200806050216A	0.9051956562172295	0.016235578244027576	160.54656232592407	0.9701059354555455
CMTSOLUTION_201111300047A	NOT FOUND	NOT FOUND	148.3068023640119	0.4331667017497604
CMTSOLUTION_200801090826A	0.7509665552724384	0.04876981594485643	2296.343782099295	0.9573275226886412
CMTSOLUTION_201210141013A	NOT FOUND	NOT FOUND	102.53707871006539	0.53805558668735
CMTSOLUTION_200808042045A	DiffNPTS	DiffNPTS	DiffDelta	DiffNPTS
CMTSOLUTION_201004302316A	0.9210664839701715	0.07178066297262409	5187.775833173849	0.9885482335391529
CMTSOLUTION_201004231003A	0.8327197173385781	0.02729911990295657	308.76556712917693	0.9835504598767592
CMTSOLUTION_201310312303A	0.9332090879699604	0.01731513804491964	1193.0302093858986	0.983556488357419
CMTSOLUTION_200904070423A	0.9789819572107492	0.05615798278585851	6558.956714104537	0.9843570647864337
CMTSOLUTION_201204112255A	0.9279833237050568	0.03831467655023758	430.54563343791114	0.9812523824003649
CMTSOLUTION_201301302015A	0.9762623964457824	0.030495973716566697	2007.4731646270284	0.9549259129786071
CMTSOLUTION_200912100230A	2.436870158124486	0.09992532591884891	169.38282788468274	-0.8950755850349108
CMTSOLUTION_200907061453A	1.0948955057701746	0.018711173249023664	124.41687950754583	0.9052775056667562
CMTSOLUTION_201105280547A	NOT FOUND	NOT FOUND	12.404827925586456	0.32065130950720383
CMTSOLUTION_200908031800A	1.2080103947578773	0.12889631512147517	4628.5390167501355	0.8443459395792093
CMTSOLUTION_201006010326A	0.9925515175461439	0.021609476219613875	226.95248681922084	0.9906880360885076
CMTSOLUTION_200805201353A	0.9196144976818764	0.05047843140635547	325.20282103520833	0.9722213856051747
CMTSOLUTION_200808262100A	1.3149270788862921	0.06685763960726643	398.27870827489414	0.8976334355504684
CMTSOLUTION_201005190415A	1.039293562192205	0.06258161091200824	104.59444367019859	0.9146383347984149
CMTSOLUTION_201204171903A	0.9991158894685171	0.04012209284058564	218.17262752521574	0.9681109443961126
CMTSOLUTION_201206070405A	0.9561351569400354	0.005982692658721463	578.1841474482899	0.9643735780865361
CMTSOLUTION_201308070906A	1.1639775656800577	0.0640572371796046	75.13791859153105	0.9732066828660956
CMTSOLUTION_200908031840A	1.154435625396651	0.1631610581121503	1072.5097534278148	0.7859069790829208
CMTSOLUTION_200906191405A	0.7365306241498947	0.13700072621439693	245.30059424016605	0.7853511446482484
CMTSOLUTION_200810301515A	0.8809555650513369	0.05166609496927749	94.03817232065985	0.979093528224186
CMTSOLUTION_201402180927A	NOT FOUND	NOT FOUND	262.7628736874803	-0.2565762993486754
CMTSOLUTION_201107160026A	0.909210107014972	0.017209558836965577	240.65284139033432	0.9870252973981308
CMTSOLUTION_201104071311A	0.4628760704278699	0.017206702067160688	8621.671078340634	0.849840186457839
CMTSOLUTION_201002271900A	0.9218369684110861	0.0846617917867714	15.876921045765574	0.9960533705199551
CMTSOLUTION_201306242204A	0.9006046905190385	0.05512008876987059	3451.718790092221	0.9667218409547376
CMTSOLUTION_200908171011A	1.181601745612704	0.06368874713952294	501.40792027066504	0.8436421622843262
CMTSOLUTION_201302010536A	NOT FOUND	NOT FOUND	30.45989226125036	0.3605367007237288
CMTSOLUTION_201201151421A	1.0907026776093927	0.04176652437811542	676.2959032602107	0.9855697026547574
CMTSOLUTION_201306050447A	0.912021278976132	0.05899171616703977	321.20203170520097	0.9937404857430924
CMTSOLUTION_201001220046A	NOT FOUND	NOT FOUND	74.45246335787465	-0.24000281226926085
CMTSOLUTION_201003051147A	1.12081103726985	0.04953662874676767	351.35961891435664	0.9939694992085474
CMTSOLUTION_200802270654A	1.40387153921998	0.015482112775235247	119.19580136474174	0.9555065102404571
CMTSOLUTION_200905120126A	0.9701469689547417	0.0236096357891304	103.374891017318	0.9589999361780551
CMTSOLUTION_201106240309A	0.9331311526017092	0.061094006995395	17786.05933764642	0.9641788749491929
CMTSOLUTION_201310121311A	0.9505352248449727	0.12166217398670243	2470.681430325073	0.7424820494173864
CMTSOLUTION_201112271521A	0.9652162521982982	0.03749043801723338	7521.577639554216	0.9829594035236234
CMTSOLUTION_201204200121A	NOT FOUND	NOT FOUND	21.124800765252623	-0.5743625077073908
CMTSOLUTION_201310311202A	0.9713865845135988	0.07915471540128209	354.2821229956187	0.8110669559026386
CMTSOLUTION_201109181240A	NOT FOUND	NOT FOUND	2685.7386287059753	0.3865530725696918
