T		E					err
10.51	-0.0284922182887	0.116593207848
13.02	-0.0484196550966	0.128469717938
16.13	-0.0575454736575	0.116141662107
19.98	-0.0497812360891	0.11091781893
24.74	-0.0147082814071	0.104120028658
30.66	-0.00491350849189	0.0964866466457
37.96	0.008302024212	0.0911460183615
47.03	0.00614501162688	0.0795088667499
58.25	-0.0220935723629	0.060631574714
72.14	-0.0338113190439	0.0461755940399
89.36	-0.0496108031272	0.0430530342286
110.68	-0.0573471911346	0.0468611269379
137.09	-0.0700704429139	0.0408120781534
169.81	-0.0834670967919	0.0401151575792
210.33	-0.0952579396915	0.0362213492539
